Altium Designer Pick and Place Locations
C:\CERN\APD\IPMC\Schematic\svn\trunk\Project Outputs for UW_IPMC_ZYNQ\revA\Pick Place\Pick Place for uw_ipmc_zynq.csv

========================================================================================================================
File Design Information:

Date:       15/03/17
Time:       15:50
Revision:   0
Variant:    No variations
Units used: mil

"Designator","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Mfg. Part No.","Mfgr"
"C1","TopLayer","C1210_IPC_H","161.417","1055.118","90","Capacitor","GRM32ER60J107ME20L","Murata"
"C10","TopLayer","C0201_IPC_H","535.433","236.220","270","Capacitor","GRM033R60J104KE19D (ECJ-ZEB0J104K)","Murata (Panasonic-ECG)"
"C100","BottomLayer","C0402_IPC_H","1220.472","862.205","180","Capacitor","GRM155R60J474KE19D","Murata"
"C101","BottomLayer","C0402_IPC_H","1220.472","956.693","360","Capacitor","C1005X5R0J475M050BC","TDK"
"C102","BottomLayer","C0402_IPC_H","1219.882","578.740","180","Capacitor","GRM155R60J474KE19D","Murata"
"C103","BottomLayer","C0402_IPC_H","1216.535","484.252","360","Capacitor","GRM155R60J474KE19D","Murata"
"C104","BottomLayer","C0402_IPC_H","1188.976","547.244","360","Capacitor","C1005X5R0J475M050BC","TDK"
"C105","BottomLayer","C0402_IPC_H","1188.976","673.228","360","Capacitor","C1005X5R0J475M050BC","TDK"
"C106","BottomLayer","C0402_IPC_H","1188.976","767.716","180","Capacitor","GRM155R60J474KE19D","Murata"
"C107","BottomLayer","C0402_IPC_H","1188.976","799.212","360","Capacitor","C1005X5R0J475M050BC","TDK"
"C108","BottomLayer","C0402_IPC_H","1185.039","1019.685","360","Capacitor","GRM155R60J474KE19D","Murata"
"C109","BottomLayer","C0402_IPC_H","1185.039","1125.984","90","Capacitor","GRM155R60J106ME44D","Murata"
"C11","TopLayer","C1210_IPC_H","866.142","1051.181","0","Capacitor","GRM32ER60J107ME20L","Murata"
"C110","BottomLayer","C0402_IPC_H","1157.480","610.236","180","Capacitor","GRM155R71C104KA88D","Murata"
