Altium Designer Pick and Place Locations
C:\Users\marce\Documents\CERN\APD\IPMC\Schematic\svn\trunk\Project Outputs for ZYNQ_IPMC\revB1\Pick Place\Pick Place for ZYNQ_IPMC.csv

========================================================================================================================
File Design Information:

Date:       20/06/19
Time:       15:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C1","TopLayer","C1210_IPC_H","161.417","1055.118","90","Capacitor"
"C2","TopLayer","C0402_IPC_H","170.000","380.000","360","Capacitor"
"C3","TopLayer","C0201_IPC_H","220.472","480.315","360","Capacitor"
"C4","TopLayer","C0402_IPC_H","263.779","185.039","360","Capacitor"
"C5","TopLayer","C0402_IPC_H","255.905","1003.937","90","Capacitor"
"C6","TopLayer","C0805_M","311.024","1086.614","360","Capacitor"
"C7","TopLayer","C0201_IPC_H","275.000","220.000","360","Capacitor"
"C8","TopLayer","C0402_IPC_H","326.772","185.039","180","Capacitor"
"C9","TopLayer","C0201_IPC_H","350.000","220.000","180","Capacitor"
"C10","TopLayer","C0201_IPC_H","535.433","236.220","270","Capacitor"
"C11","TopLayer","C1210_IPC_H","866.142","1051.181","0","Capacitor"
"C12","TopLayer","C0402_IPC_H","1172.638","1129.921","180","Capacitor"
"C13","TopLayer","C0402_IPC_H","1283.465","1125.984","90","Capacitor"
"C14","TopLayer","C0805_M","1570.866","1122.047","180","Capacitor"
"C15","TopLayer","C0402_IPC_H","1720.472","1070.866","180","Capacitor"
"C16","TopLayer","C1210_IPC_H","1748.032","677.165","90","Capacitor"
"C17","TopLayer","C0805_M","1744.094","360.236","90","Capacitor"
"C18","TopLayer","C1210_IPC_H","1799.213","814.961","180","Capacitor"
"C19","TopLayer","C0402_IPC_H","1814.961","1070.866","180","Capacitor"
"C20","TopLayer","C1210_IPC_H","1874.016","614.173","90","Capacitor"
"C21","TopLayer","C0402_IPC_H","1838.583","724.409","270","Capacitor"
"C22","TopLayer","C0402_IPC_H","1874.016","724.409","270","Capacitor"
