Altium Designer Pick and Place Locations
C:\Users\marce\Documents\CERN\APD\IPMC\Schematic\svn\trunk\TestBoard\Project Outputs for IPMC_TestBoard\revA\Pick Place\Pick Place for IPMC_TestBoard_PCB.csv

========================================================================================================================
File Design Information:

Date:       26/06/19
Time:       14:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"C10","?","TopLayer","C1210_IPC_H","4740.000","2610.000","270"
"C2","?","TopLayer","C1210_IPC_H","420.000","1180.000","360"
"R9","?","TopLayer","R0402_IPC_H","500.000","1520.000","360"
"R30","?","TopLayer","R0402_IPC_H","4960.000","2490.000","90"
"R10","?","TopLayer","R0402_IPC_H","590.000","1520.000","180"
"R28","?","TopLayer","R0402_IPC_H","4850.000","2430.000","0"
"U3","FT234XD-T","TopLayer","DFN-12_V","4910.000","2660.000","90"
"R32","?","TopLayer","R0603","5070.000","2710.000","180"
"R27","?","TopLayer","R0603","4530.000","3030.000","90"
"R31","?","TopLayer","R0603","5069.528","2610.000","180"
"R29","?","TopLayer","R0603","4910.000","2840.000","180"
"J10","MOLEX105017-0001","TopLayer","MOLEX105017-0001","5303.150","2670.000","90"
"C13","?","TopLayer","C0402","5070.000","2770.000","360"
"C12","?","TopLayer","C0402","5070.000","2550.000","360"
"C11","?","TopLayer","C0402","4880.000","2370.000","360"
"C9","?","TopLayer","VISH-293D-7343-31_V","4610.000","3730.000","270"
"C8","?","TopLayer","VISH-293D-7343-31_V","3910.000","2900.000","90"
"C5","?","TopLayer","VISH-293D-7343-31_V","2370.000","2540.000","270"
"D7","BLUE","TopLayer","LED0603_M","1050.000","200.000","180"
"D8","BLUE","TopLayer","LED0603_M","1650.000","200.000","180"
"D9","BLUE","TopLayer","LED0603_M","2250.000","200.000","180"
"D10","BLUE","TopLayer","LED0603_M","2950.000","200.000","360"
"D11","GREEN","TopLayer","LED0603_M","4140.000","450.000","270"
"D5","GREEN","TopLayer","LED0603_M","170.000","4411.496","270"
"D2","GREEN","TopLayer","LED0603_M","170.000","2510.000","270"
"D4","BLUE","TopLayer","LED0603_M","170.000","3860.000","270"
"D1","BLUE","TopLayer","LED0603_M","170.000","2010.000","270"
"D6","OPEN","TopLayer","LED0603_M","170.000","4861.496","270"
"D3","OPEN","TopLayer","LED0603_M","170.000","2960.000","270"
"J8","CTRL JTAG","TopLayer","87832-1420","4626.221","470.000","360"
"J9","CTRL ETH","TopLayer","43202-8916","5095.000","3325.000","90"
"J6","IPMI JTAG","TopLayer","87832-1420","3520.000","1023.858","360"
"J5","IPMC","TopLayer","87782-3007","2720.000","2995.472","270"
"J1","Ethernet Jack","TopLayer","43202-8916","335.000","715.000","270"
"J4","MMC","TopLayer","5120527-1","1584.961","4380.236","90"
"J3","MMC","TopLayer","5120527-1","1584.961","2509.764","90"
"P5","IPMC XVC to CTRL JTAG","TopLayer","HEADER2X4","3510.000","1810.000","270"
"P9","CTRL GPIO","TopLayer","HEADER2X20","5150.000","1400.000","270"
"P7","PWREN","TopLayer","HEADER1X3","4600.000","5350.000","360"
"P1","Header 20X2","TopLayer","HEADER2X20","1950.000","470.000","360"
"P4","JTAG Connect","TopLayer","HEADER2X4","3510.000","1440.000","360"
"P3","MMC0 CTRL","TopLayer","HEADER1X7","2070.000","4850.000","90"
"P2","MMC1 CTRL","TopLayer","HEADER1X7","2070.000","3150.000","90"
"PM1","UWLVPWRMODV2-PAR","TopLayer","UWLVPWRMODV2","5045.000","4480.000","360"
"R26","?","TopLayer","R0402_IPC_H","4350.000","5290.000","270"
"R25","?","TopLayer","R0402_IPC_H","4290.000","5350.000","360"
"R33","?","TopLayer","R0402","5280.000","4070.000","180"
"R34","?","TopLayer","R0402","5280.000","4020.000","360"
"R12","?","TopLayer","R0603","1200.000","200.000","180"
"R18","?","TopLayer","R0603","1800.000","200.000","180"
"R20","?","TopLayer","R0603","2400.000","200.000","180"
"R22","?","TopLayer","R0603","2800.000","200.000","0"
"R23","?","TopLayer","R0402_IPC_H","3470.000","4550.000","90"
"R24","?","TopLayer","R0603","4140.000","630.000","270"
"R14","?","TopLayer","R0402_IPC_H","1280.000","2090.000","90"
"R16","?","TopLayer","R0402_IPC_H","1280.000","3970.000","90"
"R13","?","TopLayer","R0402_IPC_H","1280.000","1943.661","90"
"R19","?","TopLayer","R0402_IPC_H","1895.275","4809.174","90"
"R15","?","TopLayer","R0402_IPC_H","1280.000","3810.000","90"
"R17","?","TopLayer","R0402_IPC_H","1780.000","2910.000","270"
"R5","?","TopLayer","R0603","350.000","4440.000","180"
"R2","?","TopLayer","R0603","350.000","2540.000","180"
"R4","?","TopLayer","R0603","350.000","3890.000","180"
"R1","?","TopLayer","R0603","350.000","2040.000","180"
"R6","?","TopLayer","R0402_IPC_H","350.000","4890.000","180"
"R3","?","TopLayer","R0402_IPC_H","350.000","2990.000","180"
"SW5","DTSM-61NT/R","TopLayer","DIPT-DTSM-6_V","4710.197","930.197","90"
"SW4","SW-DIP-8","TopLayer","TDA08H0","3745.000","464.291","360"
"SW3","DTSM-61NT/R","TopLayer","DIPT-DTSM-6_V","3230.197","470.197","90"
"SW1","SW-DIP-8","TopLayer","TDA08H0","2115.709","1145.000","270"
"SW2","SW-DIP-8","TopLayer","TDA08H0","2114.291","3985.000","90"
"TP1","TP","TopLayer","TP","5300.000","3850.000","0"
"C7","?","TopLayer","C1210_IPC_H","3110.000","4550.000","270"
"C6","?","TopLayer","C0402_IPC_H","2980.000","4500.000","270"
"U2","ADR5040","TopLayer","SOT23-H","3320.000","4560.000","180"
"P6","CTRL ADC-A","TopLayer","HEADER1X9","3920.000","4410.000","90"
"P8","CTRL ADC-B","TopLayer","HEADER1X9","4640.000","4410.000","90"
"C4","?","TopLayer","C0402","380.000","1540.000","270"
"C3","?","TopLayer","C0402","380.000","1460.000","180"
"C1","?","TopLayer","C0402","290.000","1260.000","90"
"J2","MOLEX105017-0001","TopLayer","MOLEX105017-0001","126.850","1350.000","270"
"R11","?","TopLayer","R0603","770.000","1340.000","90"
"R8","?","TopLayer","R0603","380.000","1400.000","360"
"R21","?","TopLayer","R0603","2480.000","3159.843","360"
"R7","?","TopLayer","R0603","380.000","1300.000","360"
"U1","FT234XD-T","TopLayer","DFN-12_V","590.000","1350.000","270"
"J7","CTRL","TopLayer","87782-3007","4280.000","2995.472","270"
